title,url,number,scheduled_date,status,last_review_date,meeting_label
Mainframe infrastructure coming online status,https://github.com/openmainframeproject/tac/issues/596,596,,Next Meeting Agenda Items,,
Linux Distributions Working Group,https://github.com/openmainframeproject/tac/issues/532,532,2024-12-12,In Voting,2023-10-26,2-annual-review
Strategy Session,https://github.com/openmainframeproject/tac/issues/763,763,2025-02-13,Upcoming Meeting Agenda Items,,
Ambassador Program applications open,https://github.com/openmainframeproject/tac/issues/753,753,,Upcoming Meeting Agenda Items,,
CBT Tape,https://github.com/openmainframeproject/tac/issues/530,530,2025-02-13,Upcoming Meeting Agenda Items,2023-10-12,2-annual-review
Zorse,https://github.com/openmainframeproject/tac/issues/642,642,2025-07-10,Future Meeting Agenda Items,2024-07-11,2-annual-review
Zowe,https://github.com/openmainframeproject/tac/issues/526,526,2025-11-13,Future Meeting Agenda Items,2024-11-14,2-annual-review
COBOL Working Group,https://github.com/openmainframeproject/tac/issues/581,581,2026-01-08,Future Meeting Agenda Items,2025-01-09,2-annual-review
COBOL Programming Course,https://github.com/openmainframeproject/tac/issues/585,585,2025-04-10,Future Meeting Agenda Items,2024-04-11,2-annual-review
Software Discovery Tool,https://github.com/openmainframeproject/tac/issues/580,580,2025-05-22,Future Meeting Agenda Items,2024-06-28,2-annual-review
Ambitus,https://github.com/openmainframeproject/tac/issues/577,577,2025-09-11,Future Meeting Agenda Items,2024-09-12,2-annual-review
TerseDecompress,https://github.com/openmainframeproject/tac/issues/576,576,2026-01-08,Future Meeting Agenda Items,2025-01-09,2-annual-review
Feilong,https://github.com/openmainframeproject/tac/issues/579,579,2025-07-24,Future Meeting Agenda Items,2024-07-19,2-annual-review
Mainframe Open Education,https://github.com/openmainframeproject/tac/issues/494,494,2025-06-26,Future Meeting Agenda Items,2024-06-27,2-annual-review
TAC Vice Chair Election,https://github.com/openmainframeproject/tac/issues/725,725,2025-12-11,Future Meeting Agenda Items,2025-01-09,
Mainframe Modernization WG,https://github.com/openmainframeproject/tac/issues/529,529,2025-09-25,Future Meeting Agenda Items,2024-09-26,2-annual-review
GenevaERS,https://github.com/openmainframeproject/tac/issues/575,575,2025-09-25,Future Meeting Agenda Items,2024-09-26,2-annual-review
Tessia,https://github.com/openmainframeproject/tac/issues/531,531,2025-10-09,Future Meeting Agenda Items,2024-10-10,2-annual-review
Galasa,https://github.com/openmainframeproject/tac/issues/584,584,2025-04-24,Future Meeting Agenda Items,2024-04-25,2-annual-review
CD Foundation Best Practices SIG,https://github.com/openmainframeproject/tac/issues/460,460,,On Hold,,
CLOTributor for Open Mainframe Project,https://github.com/openmainframeproject/tac/issues/620,620,,On Hold,,
z/VM Community Tools,https://github.com/openmainframeproject/tac/issues/454,454,2024-12-12,On Hold,2022-06-09,2-annual-review
COBOL Check,https://github.com/openmainframeproject/tac/issues/578,578,2024-08-22,On Hold,2023-06-08,2-annual-review
zOpen,https://github.com/openmainframeproject/tac/issues/625,625,2025-03-13,Future Meeting Agenda Items,2024-03-21,2-annual-review
Improve the security posture of our projects,https://github.com/openmainframeproject/tac/issues/541,541,,On Hold,,
Possible partnership with LFOMP of mobile application for the 3 security facilities in IBM z/OS ,https://github.com/openmainframeproject/tac/issues/729,729,2025-01-23,On Hold,,
TSTerm,https://github.com/openmainframeproject/tac/issues/506,506,2024-09-12,On Hold,2023-09-14,2-annual-review
MainframeGPT,https://github.com/openmainframeproject/tac/issues/644,644,,On Hold,,1-new-project-wg
New Project Proposal - nick,https://github.com/openmainframeproject/tac/issues/757,757,,On Hold,,
Slack Public Channel Policy,https://github.com/openmainframeproject/tac/issues/766,766,,Upcoming Meeting Agenda Items,,
