Full Name,Account Name: Account Name,Appointed By,Voting Status,Special Role,Title,HeadshotURL
Aswini Vadlamudi,IBM Watson Health,Vote of TSC Committee,Alternate Voting Rep,None,,https://lfx-cdn-prod.s3.amazonaws.com/users/avatar/a.png
Claus Bjørno,Bankdata,Vote of TSC Committee,Observer,None,"Product Owner, Mainframe DevX",https://lfx-cdn-prod.s3.amazonaws.com/users/avatar/c.png
Dan Kelosky,Broadcom Corporation,Membership Entitlement,Voting Rep,None,Software Architect,https://platform-logos-myprofile-api-prod.s3.us-east-2.amazonaws.com/dkelosky.png?v=1714574164158
Elizabeth Joseph,International Business Machines Corporation,Vote of TSC Committee,Observer,None,"Global Head, Open Source Program Office for IBM zSystems & LinuxONE",https://platform-logos-myprofile-api-prod.s3.us-east-2.amazonaws.com/pleia2.png?v=1695923509387
Igor Todorovski,IBM Canada Ltd.,Vote of TSC Committee,Observer,None,zopen community lead,https://platform-logos-myprofile-api-prod.s3.us-east-2.amazonaws.com/igortodorovski.png?v=1743421590366
Jeff Brown,Individual - No Account,Vote of TSC Committee,Observer,None,,https://platform-logos-myprofile-api-prod.s3.us-east-2.amazonaws.com/jhbmac.png?v=1748622666348
Joe Bostian,International Business Machines Corporation,Membership Entitlement,Voting Rep,None,Open Source and Analytics Architect,https://platform-logos-myprofile-api-prod.s3.us-east-2.amazonaws.com/jbostian.png?v=1736449446907
Joe Devlin,"Zoss Team, LLC",Vote of TSC Committee,Observer,None,Partner,https://platform-logos-myprofile-api-prod.s3.us-east-2.amazonaws.com/joedevlin.1629831030855
John Mertic,The Linux Foundation,None,Observer,LF Staff,Director of Program Management,https://platform-logos-myprofile-api-prod.s3.us-east-2.amazonaws.com/jmertic.png?v=1709042439248
Kip Twitchell,Individual - No Account,Vote of TSC Committee,Voting Rep,None,"GenevaERS Project, Sharealedger Founder",https://media.licdn.com/dms/image/C5603AQGS-N-U86KYqg/profile-displayphoto-shrink_800_800/0/1516342595149?e=1715817600&v=beta&t=aLT3DdmxcMikk68WmaBxlMbAF7jgouI76YuEOMimX7A
Lauren Valenti,Broadcom Corporation,Vote of TSC Committee,Voting Rep,None,Head of Mainframe Education and Customer Engagement,https://avatars.githubusercontent.com/u/74365281?v=4
Mark Bylok,International Business Machines Corporation,Vote of TSC Committee,Voting Rep,Vice Chair,,https://lfx-cdn-prod.s3.amazonaws.com/users/avatar/m.png
Michael Macisaac,Individual - No Account,Vote of TSC Committee,Observer,None,z/VM and Linux systems administrator,https://platform-logos-myprofile-api-prod.s3.us-east-2.amazonaws.com/mike99mac.png?v=1753788251583
Mike Friesenegger,SUSE Software Solutions Germany GmbH,Vote of TAC Committee,Voting Rep,Chair,Solution Architect,https://platform-logos-myprofile-api-prod.s3.us-east-2.amazonaws.com/mdfriesenegger.png?v=1736184365594
Misty Decker,Kyndryl,Vote of TSC Committee,Observer,None,Mainframe Modernization Consult Leader,https://platform-logos-myprofile-api-prod.s3.us-east-2.amazonaws.com/mistymvd.png?v=1683742899143
Mohammed Erakkadavath,International Business Machines Corporation,Vote of TSC Committee,Observer,None,,https://lfx-cdn-prod.s3.amazonaws.com/users/avatar/m.png
Moumita Paul,International Business Machines Corporation,Vote of TSC Committee,Observer,None,,https://lfx-cdn-prod.s3.amazonaws.com/users/avatar/m.png
Oleksandr Hubanov,Rocket Software,Vote of TSC Committee,Observer,None,-,https://platform-logos-myprofile-api-prod.s3.us-east-2.amazonaws.com/alexgubanow.1677964476283
Phil  Tully,Citi,Membership Entitlement,Voting Rep,None,LinuxONE Engineering Operations Director,https://platform-logos-myprofile-api-prod.s3.us-east-2.amazonaws.com/philiptully.png?v=1655918229871
Roland Koo,International Business Machines Corporation,Vote of TSC Committee,Alternate Voting Rep,None,,https://lfx-cdn-prod.s3.amazonaws.com/users/avatar/r.png
Sam Golob,CBT Tape,Vote of TSC Committee,Observer,None,Project Head,https://lfx-cdn-prod.s3.amazonaws.com/users/avatar/s.png
Sean Grady,"Rocket Software, Inc.",Vote of TSC Committee,Voting Rep,None,Senior Software Architect,https://avatars.githubusercontent.com/u/30730276?v=4
Tom Slanda,The Linux Foundation,None,Observer,LF Staff,Program Coordinator,https://platform-logos-myprofile-api-prod.s3.us-east-2.amazonaws.com/tslanda.png?v=1710787259792
Will Bartolomeo,International Business Machines Corporation,Vote of TSC Committee,Observer,None,,https://lfx-cdn-prod.s3.amazonaws.com/users/avatar/w.png
